District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
20,-0.125,-0.27399999999999997,-0.23,-0.027999999999999997,-0.071,-0.193,"141,303","32,012","10,488",0.18059999999999998,0.1934,0.20629999999999998,0.158,0.1404,0.1589,0.0547,0.043,0.0241,0.053200000000000004,0.04,0.0194
21,-0.095,-0.215,-0.096,-0.036000000000000004,-0.14400000000000002,-0.201,"136,306","30,625","10,004",0.1309,0.15439999999999998,0.2047,0.1185,0.1213,0.185,0.0409,0.027000000000000003,0.0305,0.0394,0.0232,0.024399999999999998
22,-0.182,-0.348,-0.294,-0.03,-0.071,-0.068,"136,174","33,568","11,380",0.17809999999999998,0.24960000000000002,0.2377,0.1457,0.16269999999999998,0.1678,0.0447,0.0452,0.0621,0.0434,0.042,0.0579
23,-0.28600000000000003,-0.654,-0.131,0.0,0.0,0.0,"133,548","27,862","6,988",0.0828,0.132,0.0953,0.0591,0.045700000000000005,0.08289999999999999,0.0206,0.0063,0.0054,0.0206,0.0063,0.0054
24,-0.289,-0.539,-0.499,-0.055999999999999994,-0.387,0.0,"130,034","28,421","7,178",0.1542,0.2475,0.2026,0.1097,0.11410000000000001,0.1015,0.0282,0.011699999999999999,0.005,0.026699999999999998,0.0072,0.005
25,-0.255,-0.514,-0.462,-0.04,-0.276,0.0,"126,098","26,868","6,876",0.1422,0.21170000000000003,0.1779,0.1059,0.10279999999999999,0.09570000000000001,0.028399999999999998,0.0121,0.0045000000000000005,0.0273,0.0088,0.0045000000000000005
26,-0.11199999999999999,-0.354,-0.18600000000000003,0.0,0.0,0.0,"127,742","24,824","6,997",0.1288,0.0974,0.1027,0.1143,0.0629,0.0836,0.0405,0.0166,0.0092,0.0405,0.0166,0.0092
27,-0.066,-0.094,-0.172,-0.055,-0.087,-0.431,"149,479","33,013","7,725",0.0907,0.1199,0.1306,0.08470000000000001,0.10859999999999999,0.1082,0.0318,0.0484,0.0418,0.0301,0.044199999999999996,0.023799999999999998
28,-0.09,-0.151,0.0,0.0,0.0,0.0,"153,446","36,303","8,135",0.0907,0.1121,0.08539999999999999,0.0825,0.09519999999999999,0.08539999999999999,0.024399999999999998,0.0152,0.0159,0.024399999999999998,0.0152,0.0159
29,-0.023,-0.028999999999999998,-0.054000000000000006,-0.075,-0.098,-0.455,"145,299","33,493","7,307",0.085,0.11410000000000001,0.0966,0.083,0.1109,0.09140000000000001,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
30,-0.33899999999999997,-0.682,-0.802,-0.004,-0.013999999999999999,,"133,757","28,419","8,782",0.08220000000000001,0.1378,0.07690000000000001,0.054400000000000004,0.043899999999999995,0.0152,0.0159,0.0102,0.0,0.0158,0.0101,0.0
31,0.0,0.0,0.0,-0.011000000000000001,-0.025,0.0,"145,271","32,620","9,982",0.0746,0.0716,0.037200000000000004,0.0746,0.0716,0.037200000000000004,0.027200000000000002,0.0302,0.021400000000000002,0.0269,0.0294,0.021400000000000002
32,-0.068,-0.154,-0.504,-0.006,-0.022000000000000002,0.0,"156,225","34,893","9,382",0.058899999999999994,0.063,0.0528,0.054900000000000004,0.0533,0.0262,0.019299999999999998,0.0138,0.011000000000000001,0.0192,0.013500000000000002,0.011000000000000001
33,-0.142,-0.405,-0.6459999999999999,-0.028999999999999998,-0.205,0.0,"145,629","33,012","8,479",0.048499999999999995,0.0495,0.0416,0.0416,0.029500000000000002,0.0147,0.013999999999999999,0.0049,0.0019,0.013500000000000002,0.0039000000000000003,0.0019
34,-0.032,-0.046,-0.092,-0.141,-0.12300000000000001,-0.245,"134,752","30,031","8,293",0.1117,0.1373,0.2455,0.1081,0.131,0.2228,0.055099999999999996,0.08560000000000001,0.1559,0.0473,0.075,0.1177
35,-0.037000000000000005,-0.128,0.0,0.0,0.0,0.0,"138,773","29,335","7,225",0.0821,0.0542,0.0698,0.0791,0.0472,0.0698,0.0338,0.025099999999999997,0.031,0.0338,0.025099999999999997,0.031
36,-0.040999999999999995,-0.109,0.0,0.0,0.0,0.0,"137,999","27,921","6,639",0.0898,0.0704,0.0482,0.0862,0.06269999999999999,0.0482,0.0269,0.0183,0.0036,0.0269,0.0183,0.0036
37,-0.046,-0.135,-0.15,-0.069,-0.209,-0.408,"131,848","26,621","6,303",0.0989,0.0895,0.065,0.0943,0.0774,0.0552,0.038,0.036699999999999997,0.0222,0.0354,0.028999999999999998,0.0132
38,-0.061,-0.18600000000000003,-0.237,-0.1,-0.26899999999999996,-0.456,"129,653","26,979","6,765",0.12390000000000001,0.1226,0.09849999999999999,0.11630000000000001,0.09970000000000001,0.07519999999999999,0.06860000000000001,0.0723,0.047599999999999996,0.061799999999999994,0.0529,0.0259
39,-0.055999999999999994,-0.075,-0.105,-0.08199999999999999,-0.312,-0.396,"125,783","28,605","8,019",0.09630000000000001,0.1384,0.10890000000000001,0.0908,0.128,0.0975,0.0298,0.022799999999999997,0.059800000000000006,0.0273,0.015700000000000002,0.0362
40,-0.04,-0.10400000000000001,-0.068,-0.045,-0.113,-0.037000000000000005,"104,198","21,161","6,593",0.26530000000000004,0.3472,0.30920000000000003,0.2547,0.31120000000000003,0.2882,0.0966,0.11019999999999999,0.0917,0.09230000000000001,0.0977,0.0883
41,-0.034,-0.1,-0.051,-0.023,-0.059000000000000004,-0.02,"112,002","23,321","7,424",0.2503,0.2987,0.2554,0.24170000000000003,0.2688,0.24230000000000002,0.0922,0.096,0.08560000000000001,0.0901,0.09029999999999999,0.0839
42,0.0,0.0,0.0,-0.07,-0.175,-0.049,"131,511","27,893","7,397",0.1092,0.111,0.0944,0.1092,0.111,0.0944,0.057800000000000004,0.052000000000000005,0.0605,0.0537,0.0429,0.0575
43,-0.037000000000000005,-0.09300000000000001,-0.045,-0.015,-0.066,0.0,"111,884","21,848","6,911",0.1991,0.23370000000000002,0.2321,0.1917,0.2121,0.22149999999999997,0.07,0.067,0.0781,0.069,0.0626,0.0781
44,-0.10800000000000001,-0.282,-0.43700000000000006,-0.121,-0.276,-0.19399999999999998,"117,785","26,236","7,311",0.15560000000000002,0.1857,0.2186,0.1387,0.1334,0.12300000000000001,0.0547,0.0403,0.026000000000000002,0.0481,0.0292,0.021
45,-0.026000000000000002,-0.05,-0.031,-0.08800000000000001,-0.29600000000000004,-0.12,"117,772","24,270","7,359",0.2145,0.27140000000000003,0.1886,0.209,0.2579,0.1827,0.0789,0.0787,0.036000000000000004,0.0719,0.0554,0.0317
46,-0.042,-0.09,-0.08800000000000001,-0.113,-0.265,-0.14800000000000002,"115,319","23,573","6,815",0.3127,0.4718,0.3899,0.2995,0.4291,0.3557,0.1142,0.1479,0.0722,0.1014,0.10869999999999999,0.061500000000000006
47,-0.154,-0.294,-0.272,-0.054000000000000006,-0.121,-0.134,"131,028","35,276","12,632",0.2143,0.2686,0.23800000000000002,0.1814,0.18969999999999998,0.1732,0.0576,0.0572,0.0635,0.0545,0.050300000000000004,0.055
